,SMILES,fa7,parp1,5ht1b,jak2,braf
0,CCC(C)(C)NC(=O)[C@H](C)N1CCCN(C(=O)[C@@H](F)C(C)C)CC1,0.0,0.0,0.0,0.0,0.0
1,CCn1ncc(CN2C[C@@H]3CC[C@@H](NC(=O)C4=CCCC4)C[C@H]3C2)n1,0.0,0.0,0.0,0.0,0.0
2,CCCc1[nH]ccc1C(=O)N[C@@H]1CN(C(=O)[C@H](C)C(C)C)C[C@H]1OC,0.0,0.0,0.0,0.0,0.0
3,CC(C)(C)C(=O)N1CCC(CNCCOC[C@H]2CCCCO2)CC1,0.0,0.0,0.0,0.0,0.0
4,CCc1noc(C)c1CN1CC([C@H](C)NC(=O)c2cnns2)C1,0.0,0.0,0.0,0.0,0.0
5,CC(C)N(CC1CCC1)C(=O)NCc1cc(=O)n2ccccc2n1,0.0,0.0,0.0,0.0,0.0
6,CCOC(=O)Nc1ccc(C(=O)NC[C@H](O)c2ccco2)cc1,0.0,0.0,0.0,0.0,0.0
7,CCOC(=O)C1(CNC(=O)c2ccc3nc(S)[nH]c3c2)CCC1,0.0,0.0,0.0,0.0,0.0
8,CCCN(C)CC(=O)N(C)C[C@@H]1CCN1C(=O)[C@@H]1C[C@H]1c1ccco1,0.0,0.0,0.0,0.0,0.0
9,CC[C@H](C)CC(=O)N1CCC[C@@H](NC(=O)c2nccn2CC)CC1,0.0,0.0,0.0,0.0,0.0
10,CCOC(=O)c1csc([C@H](C#N)C(=O)[C@H]2CCC(F)(F)C2)n1,0.0,0.0,0.0,0.0,0.0
11,CC[C@H](Oc1ccccc1C)C(=O)OCc1nc(N)nc(N)n1,0.0,0.0,0.0,0.0,0.0
12,CCC1(C(=O)NC[C@@H]2COCCN2C(=O)[C@@H]2C[C@@H]3C[C@@H]3C2)CCCC1,0.0,0.0,0.0,0.0,0.0
13,CCNC(=O)C1(CNCc2ccc(C)cc2O)CCC1,0.0,0.0,0.0,0.0,0.0
14,CC(C)[C@@H](CNC(=O)N1CC[C@@H]2OCC[C@@H]2C1)N1CCOCC1,0.0,0.0,0.0,0.0,0.0
15,CCC(=O)N[C@H](C)C(=O)N[C@H]1C[C@H](NCc2cccc(C)c2)C1,0.0,0.0,0.0,0.0,0.0
16,CC1(CCNC(=O)Cc2ccc(F)cc2[N+](=O)[O-])OCCO1,0.0,0.0,0.0,0.0,0.0
17,CCCCNC(=O)C1CCN(C(=O)C(C)(C)C(=O)OCC)CC1,0.0,0.0,0.0,0.0,0.0
18,CCCCc1nnc(NC(=O)CN2CCC(F)(F)C[C@H]2C)s1,0.0,0.0,0.0,0.0,0.0
19,CC(=O)OC1CCN(C(=O)C(=O)Nc2ccc(C)cc2)CC1,0.0,0.0,0.0,0.0,0.0
20,CCOCCCC(=O)NCCCNCc1ccc(F)c(Cl)c1,0.0,0.0,0.0,0.0,0.0
21,CC[C@@H](CNC(=O)c1cccnc1C1CC1)NC(=O)c1cscn1,0.0,0.0,0.0,0.0,0.0
22,CC(C)Oc1ccc(C(=O)N[C@H](C)C2CCOCC2)cn1,0.0,0.0,0.0,0.0,0.0
23,CCCn1ncc(C(=O)NC[C@H]2CCN(CC[C@@H]3CCOC3)C2)c1C,0.0,0.0,0.0,0.0,0.0
24,CC(=O)NCC(C)(C)C(=O)N(C)CCCN(C)Cc1ccccc1,0.0,0.0,0.0,0.0,0.0
25,CCn1nc(C)cc1C(=O)N1CCC(NC(=O)c2coc(C)n2)CC1,0.0,0.0,0.0,0.0,0.0
26,CCN1CC[C@@H](N(C)Cc2ccc([N+](=O)[O-])cc2)C[C@@H]1C,0.0,0.0,0.0,0.0,0.0
